този;this one
стотинка;penny
осигуровка;insurance
документален;documentary
15px;15px
джудже;dwarf
стопя;melt
дебют;debut
намек;hint
вечност;eternity
влоша;worse
местя;move
мраморен;marble
Айез;Aes
полетя;flew
ален;alen
робин;robin
сформирам;form
находище;locality
ензим;enzyme
оперирам;I operate
гардероб;wardrobe
католически;catholic
обоснова;justification
насроча;on time
повръщане;vomiting
прокълна;he cursed
ентусиазъм;enthusiasm
милан;Milan
хич;nothing
бартерен;barter
консултативен;advisory
неверен;unfaithful
раздяла;separation
скален;rocky
бик;bull
пренебрегна;ignored
клей;glue
влошаване;deterioration
крайник;limb
смътен;vague
ударен;hit
пластмаса;plastic
рогат;horned
спасител;savior
зачудя;I wondered
почитам;I respect
купон;coupon
кристал;crystal
невъзможност;impossibility
ELINCS;ELINCS
спадна;fell
потискам;I suppress
родопи;Rhodopes
знаменит;famous
толкоз;so much
Уил;Will
камбана;Bell
момченце;boy
мома;girl
кенеди;Kennedy
мюнхен;Munich
измежду;between
изгоден;profitable
споделям;share
ET;ET
кацане;landing
пробив;breakthrough
Br;No.
заразен;infected
найголяма;the largest
вторача;vtoracha
доц;Assoc
хитлер;Hitler
язовир;dam
николаев;николаев
цезар;Caesar
заместя;instead
есенен;autumn
геомъниче;geomonic
производен;derivative
гневен;angry
еврозона;euro area
реконструкция;reconstruction
прибор;device
напредвам;I'm making progress
измъквам;get out
117;117
безпомощен;helpless
интимен;intimate
обработя;processing
важно;important
кипя;boiling
проследявам;I follow
психически;mentally
хипогликемия;hypoglycaemia
гжа;Mrs.
подновяване;renewal
утвърждаване;validation
джоунс;Jones
ключалка;lock
отскоча;bounces
умишлено;intentionally
плочка;tile
летателен;flying
намесвам;interfere
председателство;presidency
марица;maritsa
BGRфлаг;BGRflag
субстанция;substance
прикрепя;attaches
средец;middle
кевин;kevin
Джеси;Jesse
македонец;Macedonian
възлагане;assignment
диапазон;range
Арамис;Aramis
кислород;oxygen
атлантически;Atlantic
номинация;nomination
задоволявам;satisfy
илюстрация;illustration
погрешно;wrong
разпоредя;order
разделение;division
вълшебен;magical
дан;toll
камшик;whip
фургон;van
лозенец;lozenets
IUPAC;IUPAC
1940;1940
довиждане;goodbye
славия;glory
БНР;BNR
календарен;calendar
отблизо;up close
